plant,axis,metamer,organ,element,green_area,Ag,Rd,Tr,Ts,nitrates,starch,amino_acids,proteins,sucrose,triosesP,fructan,mstruct,Nstruct,cytokinines
1,MS,10,blade,LeafElement1,0.003460,0,0.468065,0.000005,14.467316,0.000000,0.000000,16.000000,380.000000,420.000000,0.000000,0.000000,0.140000,0.001020,3.500000
1,MS,10,internode,HiddenElement,0.001130,0,0.462711,0.000005,14.288647,0.000000,0.000000,17.000000,66.000000,424.500000,0.000000,0.000000,0.141500,0.000640,0.350000
1,MS,10,internode,StemElement,0.000370,0,0.465161,0.000005,14.370849,0.000000,0.000000,5.000000,22.000000,139.500000,0.000000,0.000000,0.046500,0.000210,0.500000
1,MS,10,sheath,StemElement,0.000600,0,0.472382,0.000005,14.608839,0.000000,0.000000,12.000000,128.000000,309.000000,0.000000,0.000000,0.103000,0.000680,0.500000
1,MS,11,blade,LeafElement1,0.003400,0,0.464923,0.000005,14.362890,0.000000,0.000000,10.000000,210.000000,270.000000,0.000000,0.000000,0.090000,0.000830,1.800000
1,MS,11,internode,HiddenElement,0.000400,0,0.467795,0.000005,14.458397,0.000000,0.000000,21.000000,20.000000,540.000000,0.000000,0.000000,0.180000,0.000330,0.150000
1,MS,11,sheath,StemElement,0.000500,0,0.470457,0.000005,14.546000,0.000000,0.000000,8.000000,47.000000,207.000000,0.000000,0.000000,0.069000,0.000210,0.200000
1,MS,12,blade,LeafElement1,0.002280,0,0.462164,0.000005,14.270216,0.000000,0.000000,6.000000,85.000000,150.000000,0.000000,0.000000,0.050000,0.000530,0.850000
1,MS,12,internode,HiddenElement,0.000250,0,0.466204,0.000005,14.405605,0.000000,0.000000,18.000000,20.000000,462.000000,0.000000,0.000000,0.154000,0.000140,0.100000
1,MS,12,sheath,StemElement,0.000400,0,0.471795,0.000005,14.589742,0.000000,0.000000,5.000000,13.000000,129.000000,0.000000,0.000000,0.043000,0.000110,0.150000
1,MS,13,peduncle,HiddenElement,0.001590,0,0.468092,0.000005,14.468201,0.000000,0.000000,20.000000,120.000000,510.000000,0.000000,0.000000,0.170000,0.000860,0.700000
1,MS,13,peduncle,StemElement,0.000810,0,0.464920,0.000005,14.362802,0.000000,0.000000,10.000000,61.000000,260.500000,0.000000,0.000000,0.087000,0.000440,0.850000
1,MS,14,ear,StemElement,0.000750,0,0.470683,0.000005,14.553406,0.000000,0.000000,25.000000,260.000000,630.000000,0.000000,0.000000,0.210000,0.001070,1.100000
